"Title","Description","BiocVersion","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","DataProvider","Maintainer","RDataClass","DispatchClass","ResourceName","RDataPath","Genome","Coordinate_1_based"
"Low resolution maps of each brain region within the Allen Brain Atlas 25 pcw reference map","Pre-computed matrices to be used as masks for  each region present within each layer of the  Allen Brain Atlas reference map for the 15 pcw human. The original images were downloaded from the Allen Brain Atlas,then imported into photoshop where each region was individually masked and saved as a separated tiff image ","3.7","tiff","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","List","Rda","DevHum_low.rda","brainimageRdata/data/DevHum_low.rda","NA","FALSE"
"Low resolution maps of each brain region within the Allen Brain Atlas Adult Human reference map","Pre-computed matrices to be used as masks for  each region present within each layer of the  Allen Brain Atlas reference map for the adult human brain. The original images were downloaded from the Allen Brain Atlas,then imported into photoshop where each region was individually masked and saved as a separated tiff image ","3.7","tiff","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","List","Rda","AdHum.rda","brainimageRdata/data/AdHum.rda","NA","FALSE"
"Starting dimensions of all slices within the developmental brain","Pre-computed matrices were used as masks for  each region present within each layer of the  Allen Brain Atlas reference map for the 15 pcw human brain. The object dev_DIM reports the original dimensions for the original full image so that the full image can be reconstructed at the end of the  analysis. ","3.7","tiff","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","List","Rda","dev_DIM.rda","brainimageRdata/data/dev_DIM.rda","NA","FALSE"
"Starting dimensions of all slices within the adult brain","Pre-computed matrices were used as masks for  each region present within each layer of the  Allen Brain Atlas reference map for the adult human brain. The object ad_DIM reports the original dimensions for the original full image so that the full image can be reconstructed at the end of the  analysis. ","3.7","tiff","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","List","Rda","ad_DIM.rda","brainimageRdata/data/ad_DIM.rda","NA","FALSE"
"Abreviations of all brain regions present within each slice of the developing brain set","Pre-computed matrices were used as masks for  each region present within each layer of the  Allen Brain Atlas reference map for the developing 15 pcw human brain. The object dev_abrev reports which brain regions are masked within a given slice for the developing 15 pcw brain.   ","3.7","tiff","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","List","Rda","dev_abrev.rda","brainimageRdata/data/dev_abrev.rda","NA","FALSE"
"Abreviations of all brain regions present within each slice of the adult brain set","Pre-computed matrices were used as masks for  each region present within each layer of the  Allen Brain Atlas reference map for the adult human brain. The object ad_abrev reports which brain regions are masked within a given slice for the adult brain.   ","3.7","tiff","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","List","Rda","ad_abrev.rda","brainimageRdata/data/ad_abrev.rda","NA","FALSE"
"Outline to be drawn for each slice within the developing brain","Pre-computed matrices were used as masks for  each region present within each layer of the  Allen Brain Atlas reference map for the developing human brain. The object dev_outline contains the information to draw an outline around all of these masks within the final image.   ","3.7","tiff","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","List","Rda","dev_outline.rda","brainimageRdata/data/dev_outline.rda","NA","FALSE"
"Outline to be drawn for each slice within the adult brain","Pre-computed matrices were used as masks for  each region present within each layer of the  Allen Brain Atlas reference map for the adult human brain. The object ad_outline contains the information to draw an outline around all of these masks within the final image.   ","3.7","tiff","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","List","Rda","ad_outline.rda","brainimageRdata/data/ad_outline.rda","NA","FALSE"
"Conversion between the microdissection transcriptome dataset and the position of the tissue in the reference adult brain images.","A major advantage of brainImageR is the ability to cross-reference two disparate datasets from the Allen Brain Atlas  These two datasets do not share a 1:1 relationship. As a general rule more than one microdissected tissue will be combined to generate the profile plotted over the general brain area reference atlas.   The object ad_conversion provides the information to convert between these two datasets for the adult brain ","3.7","tab-delimited","","","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","Data Frame","Rda","ad_conversion.rda","brainimageRdata/data/ad_conversion.rda","NA","FALSE"
"Available slices for the developing brain","We provide reference maps for multiple slices of the developing brain the object dev_slices lists the original sections that these correspond to in the Allen Institute's Brain Reference Atlas.","3.7","","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","Vector","Rda","dev_slices.rda","brainimageRdata/data/dev_slices.rda","NA","FALSE"
"Available slices for the developing brain","We provide reference maps for multiple slices of the adult brain the object ad_slices lists the original sections that these correspond to in the Allen Institute's Brain Reference Atlas.","3.7","","http://atlas.brain-map.org/","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","Vector","Rda","ad_slices.rda","brainimageRdata/data/ad_slices.rda","NA","FALSE"
"Presence of gene expression for each microdissected brain region","Gene expression is noted as present (1) or absent (0) for  each microdissected structure within the 15 pcw developing brain (h376_IIIA_02). ","3.7","csv","http://www.brainspan.org/api/v2/well_known_file_download/278442900","Accessed 2017","Homo sapiens",9606,"Salk Institute","Sara Linker <slinker@salk.edu>","Data Frame","Rda","dev_abatissuesBygenes.rda","brainimageRdata/data/dev_abatissuesBygenes.rda","NA","FALSE"
